Date,Open,High,Low,Close,Adj Close,Volume
2021-12-06,15117.62988,15281.99023,14931.61035,15225.15039,15225.15039,5095960000
2021-12-07,15510.91016,15720.08984,15507.66016,15686.91992,15686.91992,5091220000
2021-12-08,15690.65039,15792.63965,15618.87988,15786.99023,15786.99023,4600800000
2021-12-09,15720.54004,15796.04981,15511.12012,15517.37012,15517.37012,4484230000
2021-12-10,15629.58984,15677.59961,15477.84961,15630.59961,15630.59961,4395460000
2021-12-13,15621.26953,15637.05957,15408.25,15413.28027,15413.28027,4549170000
2021-12-14,15215.95996,15317.54981,15097.34961,15237.63965,15237.63965,4802460000
2021-12-15,15230.70996,15575.75977,15055.23047,15565.58008,15565.58008,5318850000
2021-12-16,15629.08008,15633.19043,15119.49023,15180.42969,15180.42969,4890470000
2021-12-17,15036.76953,15288.78027,14960.37012,15169.67969,15169.67969,7616320000
2021-12-20,14933,15007.29981,14860.04004,14980.94043,14980.94043,4576750000
2021-12-21,15140.42969,15349.05957,15015.03027,15341.08984,15341.08984,4546230000
2021-12-22,15319.16016,15525.96973,15303.05957,15521.88965,15521.88965,4080900000
2021-12-23,15544.79004,15697.98047,15528.91016,15653.37012,15653.37012,3918200000
2021-12-27,15696.83008,15871.40039,15696.83008,15871.25977,15871.25977,3730120000
2021-12-28,15895.2002,15901.46973,15757.07031,15781.71973,15781.71973,3623600000
2021-12-29,15794.91992,15821.80957,15679.84961,15766.21973,15766.21973,3694500000
2021-12-30,15758.98047,15868.08984,15729.16016,15741.55957,15741.55957,3732730000
2021-12-31,15722.91016,15777.42969,15643.94043,15644.96973,15644.96973,3379850000
2022-01-03,15732.5,15832.79981,15644.08984,15832.79981,15832.79981,4412130000
2022-01-04,15852.13965,15852.13965,15512.41016,15622.71973,15622.71973,5109270000
2022-01-05,15547.16016,15586.29981,15095.17969,15100.16992,15100.16992,5011990000
2022-01-06,15024.15039,15198.4502,14914.87012,15080.86035,15080.86035,4774740000
2022-01-07,15095.71973,15171.01953,14877.62988,14935.90039,14935.90039,4229270000
2022-01-10,14751.78027,14953.84961,14530.23047,14942.83008,14942.83008,5303230000
2022-01-11,14919.25977,15158.70996,14837.62988,15153.4502,15153.4502,4378660000
2022-01-12,15263.09961,15319.03027,15117.29004,15188.38965,15188.38965,4321180000
2022-01-13,15245.04004,15259.70996,14782.24023,14806.80957,14806.80957,4283070000
2022-01-14,14708.01953,14897.67969,14689.42969,14893.75,14893.75,4345780000
2022-01-18,14681.83008,14740.54004,14482.94043,14506.90039,14506.90039,5027990000
2022-01-19,14582.21973,14658.88965,14331.65039,14340.25977,14340.25977,4639990000
2022-01-20,14462.84961,14642.03027,14140.78027,14154.01953,14154.01953,5078450000
2022-01-21,14046.21973,14171.71973,13764.24023,13768.91992,13768.91992,5845830000
2022-01-24,13481.5,13876.61035,13094.65039,13855.12988,13855.12988,6982960000
2022-01-25,13610.87012,13781.62012,13414.13965,13539.29004,13539.29004,4981070000
2022-01-26,13871.76953,14002.65039,13392.19043,13542.12012,13542.12012,5734390000
2022-01-27,13710.99023,13765.91016,13322.66016,13352.78027,13352.78027,5155970000
2022-01-28,13436.70996,13771.91016,13236.55957,13770.57031,13770.57031,4955960000
2022-01-31,13812.19043,14242.90039,13767.70996,14239.87988,14239.87988,5111460000
2022-02-01,14277.42969,14358.69043,14070.76953,14346,14346,4650460000
2022-02-02,14494.46973,14504.82031,14264.65039,14417.54981,14417.54981,4647630000
2022-02-03,14045.83008,14207.88965,13851.74023,13878.82031,13878.82031,4306490000
2022-02-04,13958.48047,14222.75977,13850.38965,14098.00977,14098.00977,4104120000
2022-02-07,14118.79004,14236.30957,13974.09961,14015.66992,14015.66992,4253020000
2022-02-08,13984.42969,14226.48047,13934.78027,14194.4502,14194.4502,4277150000
2022-02-09,14368.16016,14490.71973,14330.87012,14490.37012,14490.37012,4713210000
2022-02-10,14228.67969,14509.55957,14118.2002,14185.63965,14185.63965,5191050000
2022-02-11,14213.62012,14246.7002,13733.16016,13791.15039,13791.15039,5222590000
2022-02-14,13768.96973,13921.70996,13664.75977,13790.91992,13790.91992,4301470000
2022-02-15,13997.17969,14142.49023,13976.29004,14139.75977,14139.75977,4393050000
2022-02-16,14038.91992,14163.73047,13931.99023,14124.08984,14124.08984,4224060000
2022-02-17,14004.19043,14020.82031,13704.7002,13716.71973,13716.71973,4259890000
