Date,Open,High,Low,Close,Adj Close,Volume
2021-10-12,11.020000,11.300000,10.670000,11.270000,11.270000,309200
2021-10-13,11.220000,11.590000,11.050000,11.360000,11.360000,268300
2021-10-14,11.550000,11.780000,11.200000,11.300000,11.300000,237400
2021-10-15,11.370000,11.370000,10.940000,11.040000,11.040000,198900
2021-10-18,11.040000,11.100000,10.440000,10.630000,10.630000,270300
2021-10-19,10.590000,10.628000,9.058000,9.710000,9.710000,1339300
2021-10-20,10.000000,10.290000,9.450000,9.720000,9.720000,508800
2021-10-21,9.660000,10.574000,9.630000,10.060000,10.060000,441800
2021-10-22,9.860000,9.940000,9.430000,9.500000,9.500000,347600
2021-10-25,9.410000,10.060000,9.410000,10.010000,10.010000,353900
2021-10-26,10.080000,10.205000,9.890000,10.150000,10.150000,190800
2021-10-27,10.210000,10.210000,9.860000,10.020000,10.020000,154600
2021-10-28,10.050000,10.630000,10.010000,10.080000,10.080000,422100
2021-10-29,10.100000,10.346000,10.100000,10.270000,10.270000,163200
2021-11-01,10.180000,10.410000,10.160000,10.330000,10.330000,179400
2021-11-02,10.550000,10.880000,10.200000,10.800000,10.800000,372900
2021-11-03,10.690000,12.530000,10.410000,12.500000,12.500000,606600
2021-11-04,12.800000,13.250000,10.922000,11.320000,11.320000,1765800
2021-11-05,10.950000,11.129000,10.520000,10.830000,10.830000,603700
2021-11-08,10.980000,11.230000,10.807000,10.980000,10.980000,393500
2021-11-09,11.010000,11.191000,10.400000,10.900000,10.900000,384000
2021-11-10,10.890000,11.025000,10.130000,10.890000,10.890000,448700
2021-11-11,11.050000,11.100000,10.480000,11.000000,11.000000,373400
2021-11-12,10.420000,13.737000,10.420000,13.400000,13.400000,1534400
2021-11-15,13.400000,15.830000,13.169000,14.730000,14.730000,1451300
2021-11-16,14.280000,15.000000,13.920000,14.720000,14.720000,640800
2021-11-17,14.700000,15.370000,14.159000,15.250000,15.250000,569700
2021-11-18,15.310000,15.680000,13.960000,14.260000,14.260000,603000
2021-11-19,14.370000,14.550000,13.220000,13.550000,13.550000,504800
2021-11-22,13.550000,13.550000,11.720000,12.140000,12.140000,885200
2021-11-23,12.050000,12.700000,11.850000,12.260000,12.260000,288200
2021-11-24,12.790000,14.180000,12.510000,13.880000,13.880000,654200
2021-11-26,14.200000,15.660000,13.770000,15.610000,15.610000,578800
2021-11-29,15.685000,16.410000,13.990000,14.480000,14.480000,976700
2021-11-30,14.450000,14.689000,13.800000,14.500000,14.500000,419800
2021-12-01,14.510000,14.740000,13.420000,14.360000,14.360000,624900
2021-12-02,13.770000,14.750000,13.770000,14.400000,14.400000,412500
2021-12-03,14.240000,14.270000,12.830000,13.520000,13.520000,439200
2021-12-06,13.020000,13.050000,10.000000,10.360000,10.360000,1967200
2021-12-07,10.830000,11.380000,10.050000,10.840000,10.840000,1023100
2021-12-08,10.940000,10.970000,10.100000,10.610000,10.610000,428800
2021-12-09,8.220000,8.680000,7.770000,8.440000,8.440000,2189500
2021-12-10,8.480000,8.870000,8.109000,8.510000,8.510000,657000
2021-12-13,8.520000,8.940000,8.391000,8.450000,8.450000,384700
2021-12-14,9.200000,9.300000,8.550000,9.240000,9.240000,716600
2021-12-15,9.220000,9.850000,9.010000,9.770000,9.770000,586000
2021-12-16,9.800000,10.389000,9.670000,10.100000,10.100000,658800
2021-12-17,9.920000,10.380000,9.860000,10.320000,10.320000,451900
2021-12-20,10.160000,10.640000,9.950000,10.390000,10.390000,338900
2021-12-21,10.340000,10.500000,9.510000,9.780000,9.780000,466400
2021-12-22,9.880000,10.083000,9.340000,9.440000,9.440000,505500
2021-12-23,9.380000,10.015000,9.380000,9.790000,9.790000,246700
2021-12-27,9.605000,10.000000,9.380000,9.450000,9.450000,289400
2021-12-28,9.750000,10.175000,9.650000,9.850000,9.850000,441400
2021-12-29,9.780000,9.850000,9.400000,9.670000,9.670000,277800
2021-12-30,9.720000,9.884000,9.570000,9.640000,9.640000,227600
2021-12-31,9.720000,9.859000,9.330000,9.440000,9.440000,342900
2022-01-03,9.540000,9.750000,9.210000,9.530000,9.530000,271000
2022-01-04,9.570000,9.740000,8.600000,9.040000,9.040000,540700
2022-01-05,8.900000,9.400000,8.690000,8.780000,8.780000,389100
2022-01-06,8.630000,8.750000,8.170000,8.550000,8.550000,358700
2022-01-07,8.430000,8.750000,8.210000,8.520000,8.520000,180700
2022-01-10,8.390000,8.800000,8.340000,8.680000,8.680000,284800
2022-01-11,8.570000,8.950000,8.210000,8.520000,8.520000,320500
2022-01-12,8.570000,8.589000,8.260000,8.300000,8.300000,128100
2022-01-13,8.400000,8.610000,8.180000,8.230000,8.230000,164800
2022-01-14,8.210000,8.290000,7.710000,7.780000,7.780000,370300
2022-01-18,7.680000,7.680000,7.260000,7.330000,7.330000,621800
2022-01-19,7.500000,7.985000,7.320000,7.420000,7.420000,288300
2022-01-20,7.590000,7.995000,7.020000,7.070000,7.070000,327200
2022-01-21,7.010000,7.200000,6.440000,6.770000,6.770000,326900
2022-01-24,6.860000,6.860000,6.100000,6.660000,6.660000,416400
2022-01-25,6.550000,6.750000,6.390000,6.610000,6.610000,181200
2022-01-26,6.710000,6.969000,6.610000,6.730000,6.730000,211900
2022-01-27,6.550000,6.793000,6.300000,6.330000,6.330000,134200
2022-01-28,6.310000,6.490000,6.060000,6.460000,6.460000,164200
2022-01-31,6.480000,6.930000,6.480000,6.890000,6.890000,196100
2022-02-01,6.930000,7.530000,6.890000,7.530000,7.530000,231100
2022-02-02,7.550000,7.580000,7.040000,7.240000,7.240000,164400
2022-02-03,7.120000,7.350000,6.990000,7.140000,7.140000,125800
2022-02-04,7.160000,7.350000,6.920000,7.320000,7.320000,139000
2022-02-07,7.250000,7.450000,6.920000,7.400000,7.400000,249700
2022-02-08,7.430000,7.510000,7.220000,7.470000,7.470000,128200
2022-02-09,7.530000,7.740000,7.340000,7.600000,7.600000,173300
2022-02-10,7.400000,7.704000,7.350000,7.400000,7.400000,214900
2022-02-11,7.220000,8.150000,7.220000,7.650000,7.650000,359000
2022-02-14,7.750000,8.060000,7.520000,7.540000,7.540000,205600
2022-02-15,7.620000,8.170000,7.620000,8.030000,8.030000,145200
2022-02-16,8.020000,8.250000,7.900000,8.030000,8.030000,124400
2022-02-17,8.000000,8.230000,7.560000,7.830000,7.830000,223100
2022-02-18,7.860000,8.010000,7.350000,7.470000,7.470000,203500
2022-02-22,7.350000,7.560000,7.280000,7.410000,7.410000,117500
2022-02-23,7.470000,7.508000,7.110000,7.290000,7.290000,150200
2022-02-24,6.930000,8.110000,6.720000,8.040000,8.040000,373200
2022-02-25,7.890000,8.600000,7.760000,8.570000,8.570000,204400
2022-02-28,8.400000,8.560000,7.880000,7.960000,7.960000,212600
2022-03-01,7.900000,8.010000,7.500000,7.610000,7.610000,171500
2022-03-02,7.610000,7.620000,6.570000,6.920000,6.920000,497500
2022-03-03,7.000000,7.180000,6.700000,6.870000,6.870000,143900
2022-03-04,6.750000,6.880000,6.579000,6.700000,6.700000,159500
2022-03-07,6.810000,6.890000,6.400000,6.790000,6.790000,206000
2022-03-08,6.800000,6.970000,6.580000,6.730000,6.730000,104600
2022-03-09,6.890000,7.350000,6.840000,7.240000,7.240000,131000
2022-03-10,7.120000,7.240000,6.990000,7.190000,7.190000,109500
2022-03-11,7.170000,7.350000,6.720000,6.730000,6.730000,91800
2022-03-14,6.700000,6.820000,6.400000,6.470000,6.470000,120300
2022-03-15,6.410000,6.577000,6.300000,6.410000,6.410000,109300
2022-03-16,6.620000,6.870000,6.403000,6.690000,6.690000,177400
2022-03-17,6.590000,6.930000,6.380000,6.760000,6.760000,218100
2022-03-18,6.860000,7.100000,6.720000,6.770000,6.770000,351900
2022-03-21,6.940000,6.940000,6.500000,6.530000,6.530000,170900
2022-03-22,7.030000,7.310000,6.730000,6.730000,6.730000,216900
2022-03-23,6.660000,6.700000,6.390000,6.690000,6.690000,207300
2022-03-24,6.730000,6.850000,6.550000,6.720000,6.720000,107400
2022-03-25,6.730000,6.770000,6.520000,6.700000,6.700000,166000
2022-03-28,6.700000,6.855000,6.370000,6.720000,6.720000,217400
2022-03-29,6.800000,6.960000,6.711000,6.940000,6.940000,135700
2022-03-30,6.910000,7.210000,6.530000,6.770000,6.770000,177500
2022-03-31,6.750000,6.780000,6.610000,6.680000,6.680000,116400
2022-04-01,6.760000,6.810000,6.575000,6.670000,6.670000,109500
2022-04-04,6.630000,6.710000,6.400000,6.680000,6.680000,133600
2022-04-05,6.720000,6.950000,6.540000,6.660000,6.660000,155000
2022-04-06,6.580000,6.754000,6.500000,6.710000,6.710000,99700
2022-04-07,6.880000,7.182000,6.845000,7.100000,7.100000,250900
2022-04-08,7.110000,7.190000,6.760000,6.920000,6.920000,142400
2022-04-11,6.750000,6.751000,6.300000,6.370000,6.370000,259700
2022-04-12,6.400000,6.620000,6.320000,6.420000,6.420000,224800
2022-04-13,6.550000,6.720000,6.340000,6.710000,6.710000,149100
2022-04-14,6.710000,6.770000,6.520000,6.610000,6.610000,154900
2022-04-18,6.500000,6.600000,6.200000,6.280000,6.280000,256000
2022-04-19,6.290000,6.570000,6.280000,6.490000,6.490000,102500
2022-04-20,6.490000,6.840000,6.430000,6.500000,6.500000,187200
2022-04-21,6.520000,6.855000,6.420000,6.640000,6.640000,234700
